Conjugue être à la 1re personne de l'imparfait ?,J'étais,Je suis,Je serai,J'ai été
Conjugue avoir à la 3e personne de l'imparfait ?,Il avait,Il a,Il aura,Il eut
Conjugue aller à la 1re personne du futur ?,J'irai,J'allais,Je vais,J'irais
Conjugue faire à la 3e personne de l'imparfait ?,Il faisait,Il fait,Il fera,Il fit
Conjugue venir à la 1re personne de l'imparfait ?,Je venais,Je viens,Je viendrai,J'étais venu
Conjugue prendre à la 3e personne du futur ?,Il prendra,Il prend,Il prenait,Il a pris
Conjugue voir à la 1re personne de l'imparfait ?,Je voyais,Je vois,J'ai vu,Je verrai
Conjugue pouvoir à la 3e personne du futur ?,Il pourra,Il peut,Il pouvait,Il a pu
Conjugue vouloir à la 1re personne de l'imparfait ?,Je voulais,Je veux,J'ai voulu,Je voudrai
Conjugue dire à la 3e personne du futur ?,Il dira,Il dit,Il disait,Il a dit
Conjugue lire à la 1re personne du futur ?,Je lirai,Je lis,Je lisais,J'ai lu
Conjugue écrire à la 3e personne de l'imparfait ?,Il écrivait,Il écrit,Il écrira,Il a écrit
Conjugue courir à la 1re personne de l'imparfait ?,Je courais,Je cours,J'ai couru,Je courrai
Conjugue finir à la 3e personne du futur ?,Il finira,Il finit,Il finissait,Il a fini
Conjugue manger à la 1re personne du futur ?,Je mangerai,Je mangeais,Je mange,J'ai mangé
Combien font 12x7 ?,84,72,96,91
Combien font 144 divisé par 12 ?,12,14,10,16
Combien font 35+48 ?,83,73,93,78
Combien font 90-37 ?,53,57,63,47
Combien font 8x15 ?,120,105,130,115
Combien font 225 divisé par 15 ?,15,20,25,10
Combien font 14² ?,196,182,168,204
Combien font 7³ ?,343,294,321,512
Combien font 3x(12+8) ?,60,72,54,48
Combien font 100-3x15 ?,55,85,65,45
Quel est le périmètre d'un carré de côté 5 ?,20,25,15,10
Combien font 2;5x4 ?,10,6,8,12
Combien font 18x4 ?,72,64,76,68
Combien font 360 divisé par 9 ?,40,45,36,30
Combien font 11x11 ?,121,111,131,144
Quelle est la capitale de la Norvège ?,Oslo,Stockholm,Copenhague,Helsinki
Quelle planète possède des anneaux visibles ?,Saturne,Jupiter,Mars,Uranus
Quel organe permet de respirer ?,Poumons,Estomac,Coeur,Foie
Quel est le plus grand océan ?,Pacifique,Atlantique,Indien,Arctique
Quelle est la langue la plus parlée au monde ?,Anglais,Mandarin,Espagnol,Français
Quel gaz est indispensable à la respiration ?,Oxygène,Azote,Hydrogène,CO2
Quelle est la capitale du Canada ?,Ottawa,Toronto,Montréal,Vancouver
Quel est le plus long fleuve du monde ?,Nil,Amazone,Mississippi,Yangtsé
Quel pays a la plus grande population ?,Chine,Inde,États-Unis,Russie
Quelle planète est la plus chaude ?,Vénus,Mercure,Mars,Jupiter
Quel est le symbole chimique du fer ?,Fe,Fr,F,Ir
Quel est le continent le plus vaste ?,Asie,Afrique,Europe,Amérique
Quelle est la capitale du Japon ?,Tokyo,Kyoto,Osaka,Nagoya
Quel est l'état de l'eau à 0°C ?,Solide,Liquide,Gazeux,Plasma
Quelle est la monnaie du Royaume-Uni ?,Livre sterling,Euro,Dollar,Yen
Quel est le contraire de rare ?,Fréquent,Unique,Cher,Ancien
Quel est le synonyme de rapide ?,Vite,Lent,Lourd,Faible
Quel est le pluriel de animal ?,Animaux,Animals,Animales,Animalx
Quel est le féminin de héros ?,Héroïne,Héroesse,Héroe,Dame
Quel est le contraire de réussir ?,Échouer,Gagner,Avancer,Finir
Quel est le synonyme de difficile ?,Compliqué,Simple,Facile,Clair
Quel est le pluriel de bijou ?,Bijoux,Bijous,Bijoues,Bijout
Quel est le féminin de prince ?,Princesse,Duchesse,Reine,Dame
Quel est le contraire de augmenter ?,Diminuer,Grandir,Monter,Ajouter
Quel est le synonyme de colère ?,Fureur,Joie,Peine,Calme
Quel est le pluriel de travail ?,Travaux,Travails,Travailes,Travaille
Quel est le contraire de visible ?,Invisible,Clair,Opaque,Grand
Quel est le synonyme de commencer ?,Débuter,Finir,Arrêter,Quitter
Quel est le féminin de veuf ?,Veuve,Vieille,Femme,Mariée
Quel est le contraire de plein ?,Vide,Large,Creux,Léger
Conjugue être à la 3e personne du futur ?,Il sera,Il serait,Il était,Il est
Conjugue avoir à la 1re personne du futur ?,J'aurai,J'avais,J'ai,J'aurais
Conjugue aller à la 3e personne de l'imparfait ?,Il allait,Il va,Il ira,Il est allé
Conjugue faire à la 1re personne du futur ?,Je ferai,Je faisais,Je fais,J'ai fait
Conjugue venir à la 3e personne de l'imparfait ?,Il venait,Il vient,Il viendra,Il est venu
Conjugue prendre à la 1re personne du futur ?,Je prendrai,Je prenais,Je prends,J'ai pris
Conjugue voir à la 3e personne du futur ?,Il verra,Il voit,Il voyait,Il a vu
Conjugue pouvoir à la 1re personne de l'imparfait ?,Je pouvais,Je peux,J'ai pu,Je pourrai
Conjugue vouloir à la 3e personne du futur ?,Il voudra,Il veut,Il voulait,Il a voulu
Conjugue dire à la 1re personne du futur ?,Je dirai,Je disais,Je dis,J'ai dit
Combien font 17x6 ?,102,96,112,92
Combien font 168 divisé par 14 ?,12,14,10,16
Combien font 45x3 ?,135,120,150,140
Combien font 250 divisé par 5 ?,50,45,55,40
Combien font 9² ?,81,72,99,64
Combien font 4³ ?,64,48,16,32
Combien font 6x(10+5) ?,90,60,75,95
Combien font 200-4x25 ?,100,150,120,80
Quel est l'aire d'un carré de côté 6 ?,36,24,30,42
Combien font (1/2)x80 ?,40,20,50,60
Quelle est la capitale de l'Autriche ?,Vienne,Berlin,Prague,Budapest
Quel est le plus grand désert du monde ?,Sahara,Gobi,Atacama,Kalahari
Quel organe filtre le sang ?,Reins,Foie,Poumons,Coeur
Quelle planète est la plus proche de la Terre ?,Vénus,Mars,Mercure,Jupiter
Quel est le symbole chimique de l'oxygène ?,O,H,Ox,Og
Quel est le continent le moins peuplé ?,Océanie,Europe,Amérique,Afrique
Quelle est la capitale de l'Australie ?,Canberra,Sydney,Melbourne,Perth
Quel métal est liquide à température ambiante ?,Mercure,Fer,Aluminium,Cuivre
Quelle est la principale source d'énergie du Soleil ?,Fusion nucléaire,Combustion,Fission,Électricité
Quelle est la capitale de l'Irlande ?,Dublin,Belfast,Cork,Limerick
Quel est le contraire de accepter ?,Refuser,Proposer,Donner,Offrir
Quel est le synonyme de courage ?,Bravoure,Peur,Faiblesse,Honte
Quel est le pluriel de genou ?,Genoux,Genous,Genoues,Genouxes
Quel est le féminin de maître ?,Maîtresse,Maîtreuse,Maîtrice,Dame
Quel est le contraire de commencer ?,Terminer,Démarrer,Lancer,Ouvrir
Conjugue être à la 1re personne du futur ?,Je serai,J'étais,Je suis,J'ai été
Combien font 16x7 ?,112,98,126,104
Quelle est la capitale de la Suède ?,Stockholm,Oslo,Helsinki,Copenhague
Quel est le pluriel de oeil ?,Yeux,Oeils,Oeaux,Oeilles
Quel est le contraire de augmenter ?,Diminuer,Ajouter,Monter,Grandir